"HolderAddress","Balance","PendingBalanceUpdate"
"0x59bbab6e11e83dd60850783783143cf1c2a3aa49","1,918,909,501","No"
"0x5fddda94d5c10db4f967b46e50425509fb877044","1,500,000,000","No"
"0x8779d44f727cb5ad2751457b683f0529220886fa","1,000,000,000","No"
"0x350c53fa0294b50babcb8ea219c5a740f8de3054","382,914,768","No"
"0x4ba9596ef6e11a0d9a50ff510ae34a7a6117304b","235,400,000","No"
"0x4a7767fa7bf5bf51710d7042955d927ab6fe1ed4","144,300,000","No"
"0x76ec2d459cd9d0fa90a9afa801918d9746fbea3d","142,727,624","No"
"0x485d3bc5879849a9750794627e7665cc881cbc28","140,400,000","No"
"0x437a7fe9756e666b9ee400ddb0906c3cf8587306","105,300,000","No"
"0xa32d3a2e1a65745a521b763681def6253e0bfe2b","93,929,576","No"
"0x665de523c7ccf5f2c5171694505a4ffbc986feab","80,663,440","No"
"0xb3e2c246c169b603da9fa1b5efc08f716cf31ed6","79,296,828","No"
"0x148b2ff5db806f29adde0d4a42b3abc14fab5ea3","77,796,888","No"
"0x890b8be6916f8166f175e56da1560ee5447ad396","70,996,008.38","No"
"0xe7f3d5c8da370da8b710e4a96d6ea777420a4159","70,863,832","No"
"0xd761b7d9843ec20f0cbafb759d08cc2cdc09e4c9","69,518,879.13","No"
"0xbd4136e558480e5bc607b053663427ba9fa5c8f8","69,251,437.33","No"
"0x0513e3c777bbf44b3072afdc562e33abd3a39114","69,173,603.78","No"
"0x73f0584cee304756a873648254388ec2eae0b648","68,559,134.19","No"
"0xefb552c0f4aa46a4fb00a7155699085cf9bbd279","62,630,828","No"
"0x8630e2303bd741b003a45661f22c4098482c6dbf","59,663,416.7","No"
"0xceadc5d53cc6057af0dc401621e25af41bc6b461","55,286,676.78","No"
"0xd0e4613d6b4392d2ccb7d00f406e1091c584910e","55,031,443.65","No"
"0x01d6c5bce976bec266b70f536ceac3ed8929acc3","55,015,616.79","No"
"0x2164f6f90dac1e25a7ae9d95b07929f4241c3ec4","54,727,829.97","No"
"0x4001c04036193f71b5757534e38fd6ee47254297","54,615,669.45","No"
"0x1ed71ba2f0ebb2f8bc9c9001c7772b34d3702fdd","53,512,499.41","No"
